rp1wl,rp1hs,rp10wl,rp10hs,rp100wl,rp100hs,rp2wl,rp2hs,rp20wl,rp20hs,rp5wl,rp5hs,rp50wl,rp50hs
5.672201,0.0,6.155011,0.0,6.686525,0.0,5.806394,0.0,6.312529,0.0,6.012056,0.0,6.482598,0.0
5.672201,0.143771,6.155011,0.143771,6.686525,0.319253,5.806394,0.143771,6.312529,0.143771,6.012056,0.143771,6.482598,0.143771
5.66742169662,0.305300754837,6.13462505178,0.326104447386,6.70995583612,0.522667875137,5.79761557871,0.311679189549,6.28788593158,0.332040407228,5.98892389573,0.319295956531,6.45384848992,0.341312517352
5.65855925994,0.466631414752,6.13107792269,0.509586552455,6.72210486027,0.726998815986,5.78966408472,0.479823047069,6.26249807249,0.520241496569,5.98144368505,0.496300258625,6.43088479748,0.539606196131
5.64091878635,0.627226410009,6.11601060796,0.692357300913,6.69885602682,0.930418809542,5.77146903664,0.647305656505,6.26303972142,0.708368398106,5.95560268301,0.671135152915,6.43620976223,0.739118726421
5.6218726394,0.787666563291,6.07282847513,0.86989843332,6.66274025885,1.13196965076,5.74246019644,0.813242256653,6.22210597182,0.893128868512,5.9223310517,0.844561439044,6.40537971226,0.936211468209
5.59047703644,0.946050270753,6.0340716978,1.04924060043,6.62808305826,1.33359930363,5.71223949011,0.978927538755,6.18655520902,1.0792785792,5.88842095762,1.01846970469,6.37751476828,1.13381400217
5.55621613455,1.1039774678,5.99655878249,1.22875926814,6.56564590197,1.52854115441,5.67296644484,1.14254423469,6.14801584809,1.26471312813,5.84935070612,1.19111499771,6.35407024363,1.33205015088
5.52492628194,1.2625094258,5.94943883378,1.40583818586,6.50541170597,1.72186785565,5.63785815774,1.30724000462,6.10620312279,1.44992070319,5.81815314565,1.36548202177,6.33534996442,1.53031501073
5.48106059205,1.41735146071,5.89104060831,1.57986984634,6.39049423698,1.89130154141,5.59436502523,1.46995216961,6.04096514601,1.62827495828,5.76196842556,1.53339305361,6.27815788913,1.72022337564
5.43498445071,1.57213822317,5.84238731398,1.75678190341,6.28784725513,2.06799662969,5.55157791993,1.63289929702,5.96989081242,1.80372884841,5.71519801678,1.70426528055,6.18687979168,1.89763253019
5.38784285136,1.7266488312,5.78122819536,1.92978904168,6.20155777034,2.2534421343,5.51219859779,1.79669834047,5.90273793189,1.98079808012,5.65216966094,1.86959907436,6.12116019528,2.08311326382
5.33898455333,1.8806703052,5.73503478659,2.10717348205,6.0930738679,2.42650199027,5.4478965313,1.9522895746,5.850383305,2.16333628074,5.60298722348,2.03968787555,6.03089232982,2.2592651697
5.29005308681,2.03442616546,5.66834978006,2.27794828355,5.98007676333,2.59459808641,5.39845582792,2.1133221394,5.78562097166,2.34166467452,5.55084617569,2.20901944842,5.90826089478,2.41632308058
5.23724282752,2.18712776702,5.59965031981,2.4481260029,5.91436859572,2.78837919369,5.34271121051,2.27230129268,5.72516416023,2.52123559819,5.49140701367,2.37552668175,5.82963156847,2.59916637249
5.17389972527,2.33508599545,5.53380692837,2.61943705608,5.86072812621,2.98598638201,5.28444973855,2.43018271866,5.64952841309,2.69445777296,5.42522764017,2.5395247682,5.77962671051,2.78989957246
5.10940172447,2.48319104558,5.47973319065,2.79352521492,5.80567982244,3.18314697356,5.22886302961,2.58915034744,5.58295187984,2.87183547527,5.3625144907,2.70500621504,5.7267904084,2.98224354162
5.03373114435,2.6259548955,5.39378408267,2.95542545074,5.75196612049,3.3804159744,5.1561162569,2.74075811744,5.5159039978,3.04824844967,5.30516881004,2.87247956396,5.6634308243,3.16962615726
4.94801370105,2.76249560195,5.34392004448,3.13198213202,5.69568046264,3.57585441507,5.07418411433,2.88788804319,5.44440002049,3.22032047142,5.23527155946,3.03479241173,5.56688054005,3.34365293648
4.85396296137,2.89380085309,5.27875512139,3.30166081474,5.59560821068,3.75342077453,4.99828038148,3.03788367898,5.35745452911,3.38851202786,5.17372986837,3.20023635317,5.48245677634,3.52376900206
4.75468857582,3.0208717153,5.20321583535,3.46758117412,5.49374830926,3.92942220614,4.9053183856,3.17835610436,5.28539106557,3.56347108365,5.07608298785,3.34735453036,5.3871683686,3.69808097978
4.64364066498,3.13824316733,5.11206665259,3.62530524076,5.41153751641,4.11688521534,4.80001879321,3.30949097355,5.21699773481,3.74064685189,4.98073277351,3.49646938633,5.31861817427,3.88421452405
4.53208200518,3.25507492261,5.00057484758,3.77079380545,5.32384968454,4.30192225956,4.67434792764,3.42157800998,5.13454107714,3.90976053726,4.87466615913,3.63795591378,5.27081161304,4.07751562036
4.40561177612,3.35547307978,4.88374178827,3.91196367725,5.21405435375,4.47275086137,4.55551223356,3.54098256512,5.01762378034,4.05632624334,4.74237991416,3.75555455422,5.19749315928,4.25875385776
4.27820417872,3.45479895032,4.77018270163,4.05558022776,5.09802599645,4.64038655375,4.43579590797,3.65876483606,4.88178713429,4.1887597847,4.62210800228,3.88567494391,5.02547781085,4.35986562628
4.14248138322,3.54234312114,4.63705997544,4.18156728261,5.00856998184,4.82418370717,4.30187488431,3.76083200734,4.74600607446,4.32109691753,4.50770484696,4.02075624828,4.85540937691,4.4621008392
4.00531996515,3.6276914872,4.49307860909,4.29430075026,4.90455375384,4.99877543359,4.1570909086,3.84695982017,4.60327181856,4.4461984961,4.3634831003,4.12321421004,4.72018571007,4.60187086833
3.85460562558,3.68567040064,4.33353827266,4.37992950979,4.75199824378,5.13022511633,4.00987740761,3.92884323754,4.44857472474,4.5554557494,4.20745891893,4.20675964805,4.59492621625,4.75650679966
