rp1wl,rp1hs,rp10wl,rp10hs,rp100wl,rp100hs,rp2wl,rp2hs,rp20wl,rp20hs,rp5wl,rp5hs,rp50wl,rp50hs,rp200,rp200
3.544793295,3.776513327,4.013952852,4.551331657,4.400331956,5.340017565,3.692115956,4.04056499,4.129787461,4.751501319,3.882615601,4.342171477,4.284227347,5.000907687,5.613676,4.317506
3.387256205,3.812517156,3.838797699,4.605186616,4.218989487,5.434802893,3.528212808,4.079238638,3.958386519,4.831593334,3.710218546,4.383024054,4.12228607,5.117296084,5.711691,4.131299
3.228868272,3.844469925,3.658202279,4.637113002,4.033354197,5.521172216,3.362685369,4.110489016,3.777689743,4.889802748,3.53477979,4.40786475,3.944021637,5.206748748,5.796528,3.939236
3.069028419,3.868228989,3.480270511,4.68180922,3.848984069,5.610222991,3.198005224,4.145694322,3.593819798,4.934785979,3.3603597,4.438789391,3.77298665,5.309486467,5.873975,3.743575
2.907984121,3.878305009,3.299426356,4.713406134,3.648684653,5.621673583,3.031203881,4.169071786,3.41005305,4.980884739,3.18634002,4.471820688,3.586724217,5.368903688,5.951556,3.547952
2.746419717,3.881733456,3.118530079,4.744652514,3.451214027,5.668434487,2.86304631,4.175788411,3.223769529,5.017854988,3.011410144,4.500044292,3.389848956,5.396437068,6.040116,3.357294
2.584855313,3.885161904,2.936555003,4.764643102,3.263545867,5.749642232,2.69461552,4.179578104,3.03734139,5.053734988,2.834343171,4.504983067,3.192213703,5.421696759,6.127648,3.166
2.42329091,3.888590351,2.753014378,4.768723802,3.068911868,5.812248172,2.526184731,4.183367798,2.847801134,5.061847706,2.657192968,4.509015881,2.992969728,5.428668639,6.203393,2.969732
2.261726506,3.892018799,2.569473754,4.772804502,2.865586202,5.828468266,2.357753942,4.187157491,2.657938057,5.066427352,2.480042765,4.513048696,2.793402977,5.433446899,6.286297,2.776426
2.100162102,3.895447247,2.385933129,4.776885202,2.660903141,5.834055242,2.189323152,4.190947185,2.468074979,5.071006998,2.302892563,4.51708151,2.593836226,5.438225159,6.376824,2.586453
1.938597698,3.898875694,2.202392504,4.780965903,2.456202937,5.839131398,2.020892363,4.194736878,2.278211901,5.075586644,2.12574236,4.521114325,2.394269475,5.443003419,6.45551,2.39143
1.777033294,3.902304142,2.01885188,4.785046603,2.251502733,5.844207553,1.852461573,4.198526572,2.088348823,5.08016629,1.948592158,4.525147139,2.194702724,5.447781678,6.547542,2.202442
1.61546889,3.905732589,1.835311255,4.789127303,2.046802529,5.849283709,1.684030784,4.202316265,1.898485745,5.084745936,1.771441955,4.529179954,1.995135973,5.452559938,6.654345,2.021194
1.453904486,3.909161037,1.65177063,4.793208003,1.842102325,5.854359864,1.515599994,4.206105959,1.708622668,5.089325583,1.594291752,4.533212768,1.795569222,5.457338198,6.742183,1.830293
1.292340082,3.912589484,1.468230005,4.797288703,1.637402121,5.859436019,1.347169205,4.209895652,1.51875959,5.093905229,1.41714155,4.537245583,1.596002471,5.462116457,6.825322,1.636959
1.130775679,3.916017932,1.284689381,4.801369403,1.432701917,5.864512175,1.178738416,4.213685346,1.328896512,5.098484875,1.239991347,4.541278397,1.396435721,5.466894717,6.904568,1.442005
0.969211275,3.919446379,1.101148756,4.805450103,1.228001713,5.86958833,1.010307626,4.217475039,1.139033434,5.103064521,1.062841144,4.545311212,1.19686897,5.471672977,6.948454,1.236642
0.807646871,3.922874827,0.917608131,4.809530803,1.023301509,5.874664486,0.841876837,4.221264732,0.949170356,5.107644167,0.885690942,4.549344026,0.997302219,5.476451237,7.002868,1.033422
0.646082467,3.926303274,0.734067507,4.813611503,0.818601305,5.879740641,0.673446047,4.225054426,0.759307278,5.112223813,0.708540739,4.553376841,0.797735468,5.481229496,7.040596,0.826466
0.484518063,3.929731722,0.550526882,4.817692203,0.613901101,5.884816796,0.505015258,4.228844119,0.569444201,5.116803459,0.531390537,4.557409655,0.598168717,5.486007756,7.074863,0.618823
0.322953659,3.933160169,0.366986257,4.821772903,0.409200897,5.889892952,0.336584468,4.232633813,0.379581123,5.121383105,0.354240334,4.56144247,0.398601966,5.490786016,7.116301,0.412498
0.161389255,3.936588617,0.183445632,4.825853603,0.204500693,5.894969107,0.168153679,4.236423506,0.189718045,5.125962751,0.177090131,4.565475284,0.199035215,5.495564275,7.15815,0.206249
0,3.940017065,0,4.829934303,0,5.900045263,0,4.2402132,0,5.130542397,0,4.569508099,0,5.500342535,7.2,0
